Path,noche,soleado,nublado,lluvia,neblina,sombras
32-dia\000000114.png,0,1,0,0,0,0
32-dia\000000115.png,0,1,0,0,0,0
32-dia\000000116.png,0,1,0,0,0,0
32-dia\000000117.png,0,1,0,0,0,0
32-dia\000000118.png,0,1,0,0,0,0
32-dia\000000119.png,0,1,0,0,0,0
32-dia\000000120.png,0,1,0,0,0,0
32-dia\000000121.png,0,1,0,0,0,0
32-dia\000000122.png,0,1,0,0,0,0
32-dia\000000123.png,0,1,0,0,0,0
32-dia\000000124.png,0,1,0,0,0,0
32-dia\000000125.png,0,1,0,0,0,0
32-dia\000000126.png,0,1,0,0,0,0
32-dia\000000127.png,0,1,0,0,0,0
32-dia\000000128.png,0,1,0,0,0,0
32-dia\000000129.png,0,1,0,0,0,0
32-dia\000000130.png,0,1,0,0,0,0
32-dia\000000131.png,0,1,0,0,0,0
32-dia\000000132.png,0,1,0,0,0,0
32-dia\000000133.png,0,1,0,0,0,0
32-dia\000000134.png,0,1,0,0,0,0
32-dia\000000135.png,0,1,0,0,0,0
32-dia\000000136.png,0,1,0,0,0,0
32-dia\000000137.png,0,1,0,0,0,0
32-dia\000000138.png,0,1,0,0,0,0
32-dia\000000139.png,0,1,0,0,0,0
32-dia\000000140.png,0,1,0,0,0,0
32-dia\000000141.png,0,1,0,0,0,0
32-dia\000000142.png,0,1,0,0,0,0
32-dia\000000143.png,0,1,0,0,0,0
32-dia\000000144.png,0,1,0,0,0,0
32-dia\000000145.png,0,1,0,0,0,0
32-dia\000000146.png,0,1,0,0,0,0
32-dia\000000147.png,0,1,0,0,0,0
32-dia\000000148.png,0,1,0,0,0,0
32-dia\000000149.png,0,1,0,0,0,0
32-dia\000000150.png,0,1,0,0,0,0
32-dia\000000151.png,0,1,0,0,0,0
32-dia\000000152.png,0,1,0,0,0,0
32-dia\000000153.png,0,1,0,0,0,0
32-dia\000000154.png,0,1,0,0,0,0
32-dia\000000155.png,0,1,0,0,0,0
32-dia\000000156.png,0,1,0,0,0,0
32-dia\000000157.png,0,1,0,0,0,0
32-dia\000000158.png,0,1,0,0,0,0
32-dia\000000159.png,0,1,0,0,0,0
32-dia\000000160.png,0,1,0,0,0,0
32-dia\000000161.png,0,1,0,0,0,0
32-dia\000000162.png,0,1,0,0,0,0
32-dia\000000163.png,0,1,0,0,0,0
32-dia\000000164.png,0,1,0,0,0,0
32-dia\000000165.png,0,1,0,0,0,0
32-dia\000000166.png,0,1,0,0,0,0
32-dia\000000167.png,0,1,0,0,0,0
32-dia\000000168.png,0,1,0,0,0,0
32-dia\000000169.png,0,1,0,0,0,0
32-dia\000000170.png,0,1,0,0,0,0
32-dia\000000171.png,0,1,0,0,0,0
32-dia\000000172.png,0,1,0,0,0,0
32-dia\000000173.png,0,1,0,0,0,0
32-dia\000000174.png,0,1,0,0,0,0
32-dia\000000175.png,0,1,0,0,0,0
32-dia\000000176.png,0,1,0,0,0,0
32-dia\000000177.png,0,1,0,0,0,0
32-dia\000000178.png,0,1,0,0,0,0
32-dia\000000179.png,0,1,0,0,0,0
32-dia\000000180.png,0,1,0,0,0,0
32-dia\000000181.png,0,1,0,0,0,0
32-dia\000000182.png,0,1,0,0,0,0
32-dia\000000183.png,0,1,0,0,0,0
32-dia\000000184.png,0,1,0,0,0,0
32-dia\000000185.png,0,1,0,0,0,0
32-dia\000000186.png,0,1,0,0,0,0
32-dia\000000187.png,0,1,0,0,0,0
32-dia\000000188.png,0,1,0,0,0,0
32-dia\000000189.png,0,1,0,0,0,0
32-dia\000000190.png,0,1,0,0,0,0
32-dia\000000191.png,0,1,0,0,0,0
32-dia\000000192.png,0,1,0,0,0,0
32-dia\000000193.png,0,1,0,0,0,0
32-dia\000000194.png,0,1,0,0,0,0
32-dia\000000195.png,0,1,0,0,0,0
32-dia\000000196.png,0,1,0,0,0,0
32-dia\000000197.png,0,1,0,0,0,0
32-dia\000000198.png,0,1,0,0,0,0
32-dia\000000199.png,0,1,0,0,0,0
32-dia\000000200.png,0,1,0,0,0,0
32-dia\000000201.png,0,1,0,0,0,0
32-dia\000000202.png,0,1,0,0,0,0
32-dia\000000203.png,0,1,0,0,0,0
32-dia\000000204.png,0,1,0,0,0,0
32-dia\000000205.png,0,1,0,0,0,0
32-dia\000000206.png,0,1,0,0,0,0
32-dia\000000207.png,0,1,0,0,0,0
32-dia\000000208.png,0,1,0,0,0,0
32-dia\000000209.png,0,1,0,0,0,0
32-dia\000000210.png,0,1,0,0,0,0
32-dia\000000211.png,0,1,0,0,0,0
32-dia\000000212.png,0,1,0,0,0,0
32-dia\000000213.png,0,1,0,0,0,0
32-dia\000000214.png,0,1,0,0,0,0
32-dia\000000215.png,0,1,0,0,0,0
32-dia\000000216.png,0,1,0,0,0,0
32-dia\000000217.png,0,1,0,0,0,0
32-dia\000000218.png,0,1,0,0,0,0
32-dia\000000219.png,0,1,0,0,0,0
32-dia\000000220.png,0,1,0,0,0,0
32-dia\000000221.png,0,1,0,0,0,0
32-dia\000000222.png,0,1,0,0,0,0
32-dia\000000223.png,0,1,0,0,0,0
32-dia\000000224.png,0,1,0,0,0,0
32-dia\000000225.png,0,1,0,0,0,0
32-dia\000000226.png,0,1,0,0,0,0
32-dia\000000227.png,0,1,0,0,0,0
32-dia\000000228.png,0,1,0,0,0,0
32-dia\000000229.png,0,1,0,0,0,0
32-dia\000000230.png,0,1,0,0,0,0
32-dia\000000231.png,0,1,0,0,0,0
32-dia\000000232.png,0,1,0,0,0,0
32-dia\000000233.png,0,1,0,0,0,0
32-dia\000000234.png,0,1,0,0,0,0
32-dia\000000235.png,0,1,0,0,0,0
32-dia\000000236.png,0,1,0,0,0,0
32-dia\000000237.png,0,1,0,0,0,0
32-dia\000000238.png,0,1,0,0,0,0
32-dia\000000239.png,0,1,0,0,0,0
32-dia\000000240.png,0,1,0,0,0,0
32-dia\000000241.png,0,1,0,0,0,0
32-dia\000000242.png,0,1,0,0,0,0
32-dia\000000243.png,0,1,0,0,0,0
32-dia\000000244.png,0,1,0,0,0,0
32-dia\000000245.png,0,1,0,0,0,0
32-dia\000000246.png,0,1,0,0,0,0
32-dia\000000247.png,0,1,0,0,0,0
32-dia\000000248.png,0,1,0,0,0,0
32-dia\000000249.png,0,1,0,0,0,0
32-dia\000000250.png,0,1,0,0,0,0
32-dia\000000251.png,0,1,0,0,0,0
32-dia\000000252.png,0,1,0,0,0,0
32-dia\000000253.png,0,1,0,0,0,0
32-dia\000000254.png,0,1,0,0,0,0
32-dia\000000255.png,0,1,0,0,0,0
32-dia\000000256.png,0,1,0,0,0,0
32-dia\000000257.png,0,1,0,0,0,0
32-dia\000000258.png,0,1,0,0,0,0
32-dia\000000259.png,0,1,0,0,0,0
32-dia\000000260.png,0,1,0,0,0,0
32-dia\000000261.png,0,1,0,0,0,0
32-dia\000000262.png,0,1,0,0,0,0
32-dia\000000263.png,0,1,0,0,0,0
32-dia\000000264.png,0,1,0,0,0,0
32-dia\000000265.png,0,1,0,0,0,0
32-dia-1\000000012.png,0,1,0,0,0,0
32-dia-1\000000013.png,0,1,0,0,0,0
32-dia-1\000000014.png,0,1,0,0,0,0
32-dia-1\000000015.png,0,1,0,0,0,0
32-dia-1\000000016.png,0,1,0,0,0,0
32-dia-1\000000017.png,0,1,0,0,0,0
32-dia-1\000000018.png,0,1,0,0,0,0
32-dia-1\000000019.png,0,1,0,0,0,0
32-dia-1\000000020.png,0,1,0,0,0,0
32-dia-1\000000021.png,0,1,0,0,0,0
32-dia-1\000000022.png,0,1,0,0,0,0
32-dia-1\000000023.png,0,1,0,0,0,0
32-dia-1\000000024.png,0,1,0,0,0,0
32-dia-1\000000025.png,0,1,0,0,0,0
32-dia-1\000000027.png,0,1,0,0,0,0
32-dia-1\000000028.png,0,1,0,0,0,0
32-dia-1\000000029.png,0,1,0,0,0,0
32-dia-1\000000030.png,0,1,0,0,0,0
32-dia-1\000000031.png,0,1,0,0,0,0
32-dia-1\000000032.png,0,1,0,0,0,0
32-dia-1\000000033.png,0,1,0,0,0,0
32-dia-1\000000034.png,0,1,0,0,0,0
32-dia-1\000000035.png,0,1,0,0,0,0
32-dia-1\000000036.png,0,1,0,0,0,0
32-dia-1\000000037.png,0,1,0,0,0,0
32-dia-1\000000038.png,0,1,0,0,0,0
32-dia-1\000000039.png,0,1,0,0,0,1
32-dia-1\000000040.png,0,1,0,0,0,1
32-dia-1\000000041.png,0,1,0,0,0,1
32-dia-1\000000042.png,0,1,0,0,0,1
32-dia-1\000000043.png,0,1,0,0,0,0
32-dia-1\000000044.png,0,1,0,0,0,1
32-dia-1\000000045.png,0,1,0,0,0,0
32-dia-1\000000046.png,0,1,0,0,0,0
32-dia-1\000000047.png,0,1,0,0,0,0
32-dia-1\000000048.png,0,1,0,0,0,0
32-dia-1\000000049.png,0,1,0,0,0,1
32-dia-1\000000050.png,0,1,0,0,0,0
32-dia-1\000000051.png,0,1,0,0,0,0
32-dia-1\000000052.png,0,1,0,0,0,0
32-dia-1\000000053.png,0,1,0,0,0,0
32-dia-1\000000054.png,0,1,0,0,0,0
32-dia-1\000000055.png,0,1,0,0,0,0
32-dia-1\000000056.png,0,1,0,0,0,0
32-dia-1\000000057.png,0,1,0,0,0,0
32-dia-1\000000058.png,0,1,0,0,0,0
32-dia-1\000000059.png,0,1,0,0,0,0
32-dia-1\000000060.png,0,1,0,0,0,0
32-dia-1\000000061.png,0,1,0,0,0,0
32-dia-1\000000062.png,0,1,0,0,0,0
32-dia-1\000000063.png,0,1,0,0,0,0
32-dia-1\000000064.png,0,1,0,0,0,0
32-dia-1\000000065.png,0,1,0,0,0,0
32-dia-1\000000066.png,0,1,0,0,0,0
32-dia-1\000000067.png,0,1,0,0,0,0
32-dia-1\000000068.png,0,1,0,0,0,0
32-dia-1\000000069.png,0,1,0,0,0,0
32-dia-1\000000070.png,0,1,0,0,0,0
32-dia-1\000000071.png,0,1,0,0,0,0
32-dia-1\000000072.png,0,1,0,0,0,0
32-dia-1\000000073.png,0,1,0,0,0,0
32-dia-1\000000074.png,0,1,0,0,0,0
32-dia-1\000000075.png,0,1,0,0,0,0
32-dia-1\000000076.png,0,1,0,0,0,0
32-dia-1\000000077.png,0,1,0,0,0,0
